"['😱', '😍', '😍', '😍', '💖']",9
"['🤣', '🤣', '🤣', '🤣']",15
['🎉'],16
"['🌍', '👥', '🏗', '🤝', '📖']",17
"['🌙', '😂']",19
['☺️'],21
['😍'],22
"['🤣', '🤣']",23
['🎄'],24
"['🤨', '🤭', '🍆', '🍆', '🍆', '💦', '💦', '💦', '🍑', '🍑', '🍑', '🍑', '💦', '💦', '💦', '💦', '💦', '💦', '💦', '💦', '🍑', '🍑', '💦', '💦', '💦']",25
['🧘'],26
['✨'],27
['🎉'],38
"['💚', '💚']",39
['❤️'],48
['👑'],50
['➡️'],53
['⚡'],54
['🎯'],64
"['🤭', '🤭', '🤭', '🤭']",71
"['😊', '✈️', '☁️']",72
"['❗', '👏']",76
"['🔥', '🔥', '🏀', '❤️\u200d🔥', '😆', '💐']",80
"['☺️', '✨']",85
['🥰'],93
['🇮🇳'],95
"['🖤', '🧟', '🔥']",101
"['💥', '💥', '💥', '💥', '💥', '💥', '💥', '💥', '💥', '🕶', '💣', '💣', '🕶']",104
"['👍🏼', '👍🏼', '👍🏼']",105
['😂'],109
"['😤', '🔥']",121
['📣'],123
"['🚨', '🚨']",129
"['😂', '🥰']",133
['🥶'],138
"['😂', '😂']",144
['📰'],146
"['🇬🇪', '🇪🇺', '🫡']",149
"['👋🏻', '✌🏻']",156
"['🌞', '🤩', '😊', '👍', '🥳']",157
['🐟'],163
"['🇨🇦', '🇺🇦']",170
['📷'],175
['👨\u200d🎤'],176
['🤍'],188
['💍'],201
['🔥'],202
['😊'],214
['😱'],219
"['🐎', '✨', '✨', '🐴', '❣️']",223
"['😭', '🤣', '🙌']",226
"['🤝', '🏚', '👈']",231
['⏱️'],235
['☀️'],237
"['✨', '✨']",239
['😻'],244
['😈'],247
"['🥲', '💕']",248
"['🔴', '✅', '✅', '⚒️']",249
"['😂', '🙇🏻\u200d♀️', '🙇🏻\u200d♀️', '🙇🏻\u200d♀️']",251
"['😂', '🙌']",254
['🤢'],259
"['🔥', '🔥']",260
['✏'],270
['👉'],271
['🥷'],275
"['💜', '💛', '💜', '💛']",279
"['🤩', '‼', '✨', '😊']",282
"['🍞', '🤤', '☺️']",290
['➡️'],295
['🥀'],296
['🙏'],298
"['🥳', '🎂', '✊🏽', '🇺🇦', '💙', '💛']",299
"['🔥', '🔥', '🔥', '👇', '👇', '👇']",309
['😬'],329
"['🏉', '⚽', '🎾', '🏈', '🏀', '⚽', '🏐', '⚾', '🏌']",330
"['🎙️', '⏰']",331
"['😊', '☺️']",334
"['❤️', '💙']",336
['🤷\u200d♂️'],340
['💜'],342
"['👏🏽', '👏🏽']",353
"['🙈', '💝', '💝']",357
['🙏'],362
['🇺🇸'],369
['💘'],373
['😂'],374
"['🙋🏻\u200d♀️', '🙋🏾\u200d♂️', '🙋🏽']",378
"['❗', '✨', '👍']",387
['😆'],389
['😉'],398
"['❗', '🇨🇩']",417
"['🛫', '🇵🇪', '💪🏻']",418
"['💻', '⬇️', '⬇️']",426
"['✨', '😭', '❗']",431
"['🙏🏽', '🙏🏽', '🙏🏽']",433
['💝'],436
"['🎶', '😆', '🎶']",438
['💀'],439
['😊'],443
"['🤟', '❕', '❕', '❕', '❕', '❕', '❕']",446
"['😅', '‼️']",462
"['👍', '✨', '☺️']",471
['🍻'],474
"['👍🏼', '👏🏼', '🍋']",477
['©'],481
"['😭', '💓', '🥺']",482
['❗'],490
['💪🏽'],504
"['😢', '👌']",507
"['🥺', '🌈', '🤸\u200d♂️', '💐', '🥑']",510
"['📩', '✔️', '🔶']",515
"['🗣️', '😔']",521
['😭'],524
"['🔥', '😍']",525
['🙅\u200d♂️'],529
['🤩'],532
['✨'],539
['😄'],542
"['💁🏻\u200d♀️', '💦', '😅']",553
"['👏', '👏', '😍']",560
"['🥀', '✨']",564
"['😂', '❤️']",567
"['🐶', '😭', '😭']",570
"['😅', '📘']",572
"['⬛', '⬛', '🟩', '🟨', '⬛', '🟩', '🟩', '🟩', '🟩', '🟩', '🎉']",581
['🧨'],584
"['🍾', '🥂']",591
"['🇮🇳', '🇵🇰', '🇮🇳', '🇨🇳']",597
['💃'],600
"['😩', '😩', '😩', '👌', '👉', '💙', '💙', '💙', '💙', '💙', '💙']",612
['😍'],613
['😘'],616
['🕊'],618
"['😰', '😁']",621
['👏'],626
['🔥'],628
['👀'],632
"['😭', '‼️', '☺️', '✨']",637
"['✨', '😅', '✨', '✨']",647
"['🌝', '😄']",648
['➡️'],656
['🔫'],658
"['🤣', '🤣']",659
"['⚡', '📅', '🎟️']",660
['🫶🏼'],667
['🤓'],679
['🤣'],680
['💡'],685
['😁'],690
['🏃'],692
"['😊', '😅']",693
['🙇\u200d♀️'],702
"['💌', '➡️']",704
['👀'],706
['☺️'],710
['🤪'],713
"['💕', '🌟', '🌟', '💕']",726
"['🚨', '❄️', '❄️', '🚨']",727
"['⛓', '🐼', '💋']",743
"['📸', '💚']",746
"['🟥', '🟩', '🟥', '🟥', '🟩', '🟩', '😲']",753
"['🤣', '🤣']",754
"['👩', '🚀', '🔬']",760
['💦'],764
"['🥲', '🥹']",768
['😊'],774
['😅'],778
['🏹'],802
"['👏', '👇']",804
['💙'],805
['😌'],810
['😍'],813
['😆'],815
['💔'],819
['❤️'],820
"['🗣️', '🐋', '📌', '📲', '🧐']",822
['😆'],827
['💕'],833
"['👍', '✔️']",835
"['2️⃣', '🤯', '🚀', '👇']",840
['🙃'],841
['👍'],852
"['☺️', '❤️', '🍀', '😁', '🥰']",854
"['😂', '😂']",859
['😼'],861
['🤗'],869
['⚠'],870
"['🫶', '🙏', '🙏']",872
['🚬'],875
['😂'],876
['‼️'],892
['🙏🏼'],910
['🔴'],927
['➡️'],940
"['👀', '🎬', '🌍', '✨']",949
['🧵'],951
['❤️'],955
['🌈'],956
"['😌', '✨']",957
['👻'],961
"['😩', '❄️', '⚰️', '🌶️']",964
['😂'],973
"['💪', '🐻', '❤️']",981
['🗓'],982
"['🍭', '🤔']",983
"['‼️', '💥', '⏰', '🆕', '✨']",995
"['🕐', '🎉', '👚', '🎶', '📻', '👇']",998
"['💪', '💪', '💪']",1002
['😀'],1008
"['📣', '📣', '🌸']",1017
['🙏'],1020
"['🤣', '🤣', '🤣']",1024
['🙏🏼'],1025
['🔥'],1033
"['🌷', '☀️', '📚']",1035
['🎉'],1036
['📺'],1039
"['❤️', '🖤']",1041
"['😍', '😍']",1043
"['💧', '🐿️']",1047
['👍'],1048
['👇'],1053
['💛'],1058
"['☺', '💞']",1059
['😩'],1068
['🫣'],1073
"['📢', '📄']",1075
['💛'],1078
['✨'],1080
['😉'],1081
['😅'],1082
['🥰'],1088
['💪'],1092
['🔥'],1097
"['👉', '👈']",1099
"['😍', '😍', '😍', '‼️', '‼️', '‼️', '😊']",1112
['🙌'],1120
"['✌️', '⚽', '🥅', '👏', '👍']",1129
['🙌🏾'],1130
"['☺️', '👍', '❤️', '❤️', '❤️']",1131
"['〰', '🔶', '〰', '〰', '🔶', '〰']",1134
"['😣', '👀']",1136
"['😜', '☠️', '🏁']",1150
"['🐈\u200d⬛', '🖤']",1152
['➡️'],1155
['😂'],1156
"['💖', '💖', '💖']",1163
"['🌞', '🌱']",1166
"['🚉', '🚆', '🎉', '✨']",1169
['😜'],1170
['💔'],1172
['🚩'],1174
"['🙏🏻', '🎛']",1177
['🏗️'],1179
['📷'],1182
"['💃🏽', '🌹']",1183
['⛄'],1184
['😀'],1185
"['💙', '💙', '💙', '💙', '💙', '💙']",1188
"['👑', '✨', '☺️', '🙌', '🎊', '✨']",1190
"['⚽', '💪🏼', '🎉']",1204
['🔴'],1206
"['😱', '🤍', '❤']",1209
['💖'],1221
['👀'],1224
"['‼', '‼']",1238
"['💃🏽', '💪🏽']",1241
['😘'],1246
"['💪', '💪', '💪', '💪']",1248
"['📋', '🔴', '⚪', '⚔️', '🏆']",1254
"['❤️', '❤️', '❤️']",1258
['🪴'],1267
['🍙'],1273
['🤎'],1274
['📸'],1276
"['✨', '🙇\u200d♂️', '😊', '❗']",1278
"['👇', '📃']",1281
['🙇\u200d♀️'],1284
['💦'],1292
['🙏'],1293
['🌭'],1294
['👏'],1295
"['💕', '💕']",1300
"['💸', '🛒', '🧮']",1311
"['👉', '👉']",1314
"['💦', '😋']",1319
"['🔥', '⤵️', '🇬🇧', '👨\u200d🌾']",1326
"['😎', '💨']",1330
"['😆', '✨']",1335
['⬇️'],1337
"['👏🏼', '👏🏼', '👏🏼', '👏🏼']",1341
"['➡️', '🎹']",1343
['®'],1344
"['🆕', '🎙', '🎬', '⬇️', '⬇️']",1347
"['💚', '😎', '👇']",1352
"['💙', '❤', '💛']",1361
"['😂', '😂']",1363
"['😂', '😂', '🤣', '🤣', '🤣', '🤣', '🤣']",1365
"['😂', '😅', '📸']",1366
"['🔥', '🔥']",1373
"['🧩', '🖼️', '🧡', '🔗']",1381
['🎉'],1382
['😜'],1386
"['🤜', '🤛', '❤️']",1388
"['🧐', '💡', '🎨', '👩🏽\u200d🎨']",1390
"['🫶', '🫶']",1396
"['☔', '📞']",1397
['🚙'],1406
"['😌', '❤️']",1407
['❤️'],1410
['🇷🇺'],1411
"['🐋', '🤔']",1414
['😑'],1415
['🤍'],1416
"['😢', '🙏🏽', '❤️']",1429
"['❤️', '🥹', '💞', '🥁', '🍭', '💃', '🥰']",1430
"['⭐', '🔆']",1431
['🙏🏽'],1441
"['🤣', '💕', '💕', '✨']",1446
"['😑', '😑', '😑']",1456
"['😱', '☄️', '👌', '🔵', '🦁']",1464
['🤍'],1467
['‼️'],1471
['😇'],1472
['🎥'],1487
['🌎'],1490
"['‼️', '🤽\u200d♂️', '✨']",1498
"['🔷', '🔶', '✅', '❌', '❌', '❌', '❌', '❌']",1500
['😴'],1512
['🙌'],1513
['😁'],1519
['👋'],1522
['🌈'],1525
"['🇧🇷', '🇧🇷', '🙏', '👏', '👏']",1526
['☺️'],1527
"['🥺', '🥰']",1533
['📣'],1541
"['💖', '💖', '💖', '💖', '💖']",1542
['❤️'],1548
['❤️'],1573
"['🙇\u200d♀️', '🔮', '🤲']",1584
"['🚁', '💻', '👊🏼', '🌴', '🔥']",1589
"['❤️', '🍎', '🍊', '🍏', '🍐', '🍌']",1597
['😞'],1601
"['🍀', '✌🏻']",1614
"['✨', '🧁', '🍪', '✨', '💭', '💭', '💭']",1615
['💚'],1616
['🤗'],1619
['👍🏼'],1625
['👀'],1633
"['🎖', '💉']",1635
['⬇️'],1637
"['☘', '✨', '✨', '😊']",1639
"['😍', '❤', '🌹']",1644
['😢'],1647
['🌹'],1650
"['😢', '🙏🏻']",1652
"['😭', '😭', '😭']",1653
"['👻', '🎃']",1659
"['😭', '🌸']",1666
"['💦', '🙇']",1668
['💡'],1671
['😰'],1674
['😉'],1675
['😁'],1678
