"['✋', '😘']",3
['✊'],6
['👇🏻'],9
"['🕯️', '🕯️', '🕯️', '🕯️', '🕯️', '🕯️']",11
"['😌', '😊', '😍', '😉', '🤗', '😽']",13
['😒'],21
"['💐', '🌹', '💘', '💘', '🍓', '🥰', '😘']",28
"['🤢', '🤮', '🤢', '🤢', '🧚🏾\u200d♀️', '💖', '💗', '💓', '✨', '❤️', '🤢', '🤢', '💞', '🥰', '💖', '🤢', '🤢', '🤢', '😷', '💖', '💘', '😍', '❤', '💗', '🥰', '🤮', '🤮', '🤢', '🤮', '💗', '✨', '🧚🏾\u200d♀️', '💕', '💞']",38
"['⚫', '🤬', '⚫']",40
['🤡'],41
['❤️'],46
['😍'],60
['❤'],64
['🤬'],75
"['👑', '👑']",79
['😂'],94
['❤️'],95
['❤️'],96
['😒'],97
['😔'],102
['💤'],118
"['🤣', '🤣']",128
['☝🏻'],134
['❤️'],139
"['👋', '👋']",141
"['🧐', '😄']",146
"['👏', '👏', '👏', '👏']",166
['💚'],169
"['😂', '😂']",177
['😮'],184
['✊'],186
['🤬'],189
['😁'],197
"['⚪', '⚫', '⚪', '⚫', '⚪', '⚫', '⚪', '⚫', '⚪', '⚫', '⚪', '⚫']",205
['😅'],211
"['⏰', '☕', '🧇', '🚕', '📍', '☎️', '☎️', '0️⃣', '6️⃣', '3️⃣', '5️⃣', '7️⃣', '0️⃣', '📱']",214
['😂'],215
['🙏'],218
['🤣'],219
['🤗'],224
"['🫣', '🫣']",229
"['🤣', '🤣']",235
"['🇮🇹', '⬛', '🟩', '🟨', '⬛', '⬛', '⬛', '🟩', '⬛', '🟩', '⬛', '🟩', '🟩', '🟩', '🟩', '🟩']",247
['😍'],251
['🤪'],252
"['☕', '☺️']",253
"['🙏', '❤️', '🇺🇦']",258
['👇'],265
"['👀', '👀', '👀']",271
"['🇦🇱', '🇮🇹']",276
['🤣'],280
['✊'],283
['😔'],292
"['🤣', '🤣', '🤣', '🤣', '👀', '👀', '👀', '👀']",298
"['😂', '😂', '😂', '😂', '😂']",305
"['❤️', '🔴']",308
['😀'],309
['⬇️'],311
"['❤️', '❤️', '❤️', '✈️', '✈️', '✈️', '✈️']",321
"['😅', '😅', '😅']",327
['🔴'],331
['😂'],336
['🎁'],340
"['🤞', '🤞', '🙏', '🙏', '🙏']",344
['🤣'],346
"['😍', '😍', '💛', '❤️']",354
"['😂', '😂', '😂', '😁']",360
"['😂', '😂', '😂']",363
['6⃣'],370
['👇'],377
['🏆'],380
"['🤡', '🤡', '🤡']",392
"['🙏', '🙏', '⭐', '⭐']",415
"['❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛']",419
['💕'],422
"['😂', '😂', '😂']",423
['😜'],425
['😊'],428
"['😭', '😭']",440
"['🎶', '➡️', '💥']",443
['👄'],449
"['🤣', '🤣', '🤣', '🤣']",452
"['😒', '🙄']",453
['📺'],454
['😂'],462
['⬆️'],464
"['🐬', '🌹']",470
"['✈️', '🤷\u200d♂️']",476
['😂'],479
['😭'],483
['📉'],486
['👨🏻\u200d🎤'],509
['🔥'],515
['😎'],518
['🙏🏻'],528
['💛'],533
['😲'],538
"['⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️']",541
"['⚽', '🌸']",542
['😇'],565
['🤔'],569
['🤣'],571
['🤷🏻\u200d♂️'],578
"['😂', '😂', '😂']",579
['🎉'],581
"['🙏🏾', '🦅']",582
['❤️'],599
['😂'],606
['💛'],612
"['❗', '🤣', '👏', '👏', '👏', '❗']",614
['🧡'],623
['😂'],641
['🥰'],644
"['✨', '✨', '✨', '✨']",648
['🤯'],654
['😂'],655
"['🇸🇪', '🇫🇮', '🇸🇪', '🇫🇮']",664
"['🌃', '🌟', '🌃']",673
"['👇', '👇', '👇', '👇', '👇', '👇', '👇']",680
['🤣'],685
['❤️'],692
"['📌', '👉']",697
['🙂'],698
"['😂', '❤️']",699
['🌹'],701
"['🎉', '🎉', '🎉']",707
"['😂', '😂']",708
"['🤣', '🤗', '😂']",710
['👇🏻'],712
"['😭', '😭', '😭', '😭', '😭']",717
['❤️'],719
"['🌹', '❤️']",733
"['🏆', '🎤', '🥇']",743
['💌'],745
['😳'],752
"['🇺🇦', '👏']",760
['😂'],767
"['😂', '😂', '😂', '😂']",768
['👆'],779
"['👁', '👄', '👁']",790
['💜'],794
"['🚨', '🚨', '👀', '‼️', '🤩', '⚠️']",797
['👍'],801
"['🥴', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",810
['❤️'],820
"['🤬', '🤬', '🤬']",822
['😏'],825
['😢'],827
"['👍', '😂', '😂', '😂']",832
"['😱', '👇']",833
['😉'],834
"['😂', '😂']",835
['☕'],869
"['🤢', '🤢', '🤢', '🤢', '🥱', '🥱', '🥱', '🥱']",870
"['😎', '💦', '💦', '💦']",886
"['😛', '😛', '😛', '😛']",887
"['💓', '💓', '💓', '💓']",900
"['❤️', '❤️']",907
['🤷\u200d♀️'],908
['👂'],909
"['😘', '😘', '😘']",917
['💓'],920
['💟'],925
['🤔'],929
"['😋', '😳']",932
"['🤩', '😂']",936
"['🤡', '🤡', '🤡', '🤡', '🤡', '🤡', '🤡', '🤡']",948
"['😭', '🤧']",949
"['⌛', '🤍', '🖤']",962
['👇'],963
['😅'],971
['😅'],977
"['🤮', '🤮']",979
['🤔'],988
['💜'],1015
"['😂', '😂']",1024
['😁'],1028
['🧵'],1035
['❤️'],1043
"['😂', '😂', '😂']",1049
['👀'],1050
['🚀'],1052
['🤨'],1061
"['🤣', '😂', '🤣', '😂']",1062
['🤷🏻\u200d♂️'],1069
"['😏', '❤️', '🤞']",1074
['🧐'],1078
['💙'],1079
['😂'],1081
['🖊️'],1086
"['👏🏻', '👏🏻', '👏🏻', '👏🏻', '👏🏻', '👏🏻', '😅', '😅']",1091
['😅'],1098
"['🤣', '🤣', '🤣', '🤣']",1102
"['💪', '🤍', '🖤']",1108
['🔥'],1116
['❤️'],1118
"['☮️', '🎸', '🎶', '😂', '😂', '🙏', '🇺🇲', '☮️', '🎼', '🇬🇧', '🇮🇹', '👍', '👍']",1120
"['😊', '❤']",1122
['🤫'],1128
"['🐮', '👱', '🌿']",1139
['🌹'],1141
['🌹'],1142
"['🙄', '🤔', '😉']",1146
"['😇', '🤪']",1148
"['👏', '👏', '👍']",1150
['😅'],1153
"['🙄', '🙄', '🙄']",1159
['😅'],1161
['👋'],1165
"['😂', '😂', '🤣', '🤣']",1168
['🤣'],1175
"['🤦🏼\u200d♀️', '😂', '😂']",1180
"['😈', '🐷', '😈']",1184
['😜'],1189
"['🌞', '☕']",1193
['😂'],1195
['🎶'],1198
['😂'],1201
"['🇦🇷', '💎', '🥇']",1204
"['☕', '🌹']",1209
['❤️'],1211
"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",1212
['🤫'],1220
['🤔'],1228
"['🎂', '🥂', '💐']",1230
"['😔', '🙏🏻']",1239
['😅'],1241
['😅'],1245
"['👕', '🦅']",1247
"['💩', '💩', '💩', '💩']",1249
['🤣'],1253
['🍻'],1259
['😅'],1263
['🛑'],1265
['😏'],1267
['💔'],1269
['😂'],1270
['🎗️'],1285
['☹️'],1297
['🍰'],1301
"['❤️', '🖤']",1311
"['✨', '✨', '✨', '✨', '✨', '✨']",1320
['🥺'],1321
"['🤝', '🤝', '🇮🇹', '🇮🇹']",1327
"['🇮🇹', '⬛', '⬛', '⬛', '🟩', '🟨', '⬛', '🟨', '🟨', '⬛', '🟨', '⬛', '🟩', '⬛', '⬛', '🟨', '🟨', '🟩', '⬛', '🟩', '🟩', '🟩', '🟩', '🟩', '🟩', '🟩']",1328
['😘'],1329
"['😥', '😥']",1339
"['👽', '🛸']",1343
"['🛸', '✨']",1361
"['😒', '🤣']",1363
"['😉', '💙']",1379
['✨'],1384
['🥰'],1389
"['🤣', '🤣']",1394
['😗'],1413
['✌️'],1427
['😂'],1430
['👇🏼'],1432
"['⚪', '⚫', '💪', '👊🏿', '🖕']",1437
['😨'],1439
"['🔥', '💜', '🔥']",1452
['😅'],1465
"['🇮🇹', '🇪🇺', '😊']",1467
['😘'],1474
"['‼️', '❌']",1479
"['🐈', '🐈', '❤', '❤']",1481
['🥰'],1487
"['🇮🇹', '💪🏽']",1494
['🙄'],1498
"['🇺🇦', '🇺🇲']",1502
['😊'],1508
"['😂', '😂', '😂']",1517
"['💣', '💣']",1530
['👊'],1538
